,GROUP,CODE,NAME,YEAR,ANTIGEN,ANTIGEN_DESCRIPTION,COVERAGE_CATEGORY,COVERAGE_CATEGORY_DESCRIPTION,TARGET_NUMBER,DOSES,COVERAGE
2357,COUNTRIES,ARM,Armenia,2006.0,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,37325.0,34292.0,92.0
2358,COUNTRIES,ARM,Armenia,2006.0,RCV1,"Rubella-containing vaccine, 1st dose",ADMIN,Administrative coverage,37325.0,34292.0,91.9
2359,COUNTRIES,ARM,Armenia,2005.0,BCG,BCG,ADMIN,Administrative coverage,36031.0,33791.0,93.8
2360,COUNTRIES,ARM,Armenia,2005.0,DTPCV3,"DTP-containing vaccine, 3rd dose",ADMIN,Administrative coverage,36732.0,33108.0,90.1
2361,COUNTRIES,ARM,Armenia,2005.0,HEPB3,"HepB, 3rd dose",ADMIN,Administrative coverage,36732.0,33250.0,90.5
2362,COUNTRIES,ARM,Armenia,2005.0,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,36177.0,34036.0,94.1
2363,COUNTRIES,ARM,Armenia,2005.0,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,39215.0,36220.0,92.3
2364,COUNTRIES,ARM,Armenia,2005.0,POL3,"Polio, 3rd dose",ADMIN,Administrative coverage,36732.0,33750.0,91.8
2365,COUNTRIES,ARM,Armenia,2005.0,RCV1,"Rubella-containing vaccine, 1st dose",ADMIN,Administrative coverage,36177.0,34036.0,94.1
2366,COUNTRIES,ARM,Armenia,2004.0,BCG,BCG,ADMIN,Administrative coverage,37811.0,36223.0,95.8
2367,COUNTRIES,ARM,Armenia,2004.0,DTPCV3,"DTP-containing vaccine, 3rd dose",ADMIN,Administrative coverage,37528.0,33888.0,90.3
2368,COUNTRIES,ARM,Armenia,2004.0,HEPB3,"HepB, 3rd dose",ADMIN,Administrative coverage,37528.0,34075.0,90.8
2369,COUNTRIES,ARM,Armenia,2004.0,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,34185.0,31280.0,91.5
2370,COUNTRIES,ARM,Armenia,2004.0,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,40012.0,37766.0,94.4
2371,COUNTRIES,ARM,Armenia,2004.0,POL3,"Polio, 3rd dose",ADMIN,Administrative coverage,37528.0,34901.0,93.0
2372,COUNTRIES,ARM,Armenia,2004.0,RCV1,"Rubella-containing vaccine, 1st dose",ADMIN,Administrative coverage,34185.0,31280.0,91.5
2373,COUNTRIES,ARM,Armenia,2003.0,BCG,BCG,ADMIN,Administrative coverage,36538.0,33652.0,92.1
2374,COUNTRIES,ARM,Armenia,2003.0,DTPCV3,"DTP-containing vaccine, 3rd dose",ADMIN,Administrative coverage,36240.0,33993.0,93.8
2375,COUNTRIES,ARM,Armenia,2003.0,HEPB3,"HepB, 3rd dose",ADMIN,Administrative coverage,36240.0,33776.0,93.2
2376,COUNTRIES,ARM,Armenia,2003.0,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,32817.0,30782.0,93.8
2377,COUNTRIES,ARM,Armenia,2003.0,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,42760.0,39844.0,93.2
2378,COUNTRIES,ARM,Armenia,2002.0,BCG,BCG,ADMIN,Administrative coverage,32380.0,31403.0,96.9
2379,COUNTRIES,ARM,Armenia,2002.0,DTPCV3,"DTP-containing vaccine, 3rd dose",ADMIN,Administrative coverage,31946.0,30024.0,93.9
2380,COUNTRIES,ARM,Armenia,2002.0,HEPB3,"HepB, 3rd dose",ADMIN,Administrative coverage,31946.0,29151.0,91.2
2381,COUNTRIES,ARM,Armenia,2002.0,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,33918.0,20194.0,59.5
2382,COUNTRIES,ARM,Armenia,2002.0,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,39213.0,24247.0,61.8
2383,COUNTRIES,ARM,Armenia,2002.0,POL3,"Polio, 3rd dose",ADMIN,Administrative coverage,31946.0,30605.0,95.8
2384,COUNTRIES,ARM,Armenia,2001.0,BCG,BCG,ADMIN,Administrative coverage,32087.0,30940.0,96.4
2385,COUNTRIES,ARM,Armenia,2001.0,DTPCV3,"DTP-containing vaccine, 3rd dose",ADMIN,Administrative coverage,34277.0,32107.0,93.7
2386,COUNTRIES,ARM,Armenia,2001.0,HEPB_BD,"HepB, birth dose (given within 24 hours of birth)",ADMIN,Administrative coverage,32037.0,30940.0,96.4
2387,COUNTRIES,ARM,Armenia,2001.0,HEPB3,"HepB, 3rd dose",ADMIN,Administrative coverage,34277.0,23788.0,69.4
2388,COUNTRIES,ARM,Armenia,2001.0,HIB3,"Hib, 3rd dose",ADMIN,Administrative coverage,0.0,0.0,0.0
2389,COUNTRIES,ARM,Armenia,2001.0,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,35781.0,34214.0,95.5
2390,COUNTRIES,ARM,Armenia,2001.0,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,42601.0,41010.0,96.3
2391,COUNTRIES,ARM,Armenia,2001.0,POL3,"Polio, 3rd dose",ADMIN,Administrative coverage,34277.0,33192.0,96.8
2392,COUNTRIES,ARM,Armenia,2001.0,TT2PLUS,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",ADMIN,Administrative coverage,0.0,0.0,0.0
2393,COUNTRIES,ARM,Armenia,2001.0,VAD1,"Vitamin A, 1st dose",ADMIN,Administrative coverage,0.0,0.0,0.0
2394,COUNTRIES,ARM,Armenia,2001.0,YFV,Yellow fever vaccine,ADMIN,Administrative coverage,0.0,0.0,0.0
2395,COUNTRIES,ARM,Armenia,2000.0,BCG,BCG,ADMIN,Administrative coverage,33593.0,32502.0,96.8
2396,COUNTRIES,ARM,Armenia,2000.0,DTPCV3,"DTP-containing vaccine, 3rd dose",ADMIN,Administrative coverage,36281.0,33842.0,93.3
2397,COUNTRIES,ARM,Armenia,2000.0,HEPB_BD,"HepB, birth dose (given within 24 hours of birth)",ADMIN,Administrative coverage,33593.0,32502.0,96.8
2398,COUNTRIES,ARM,Armenia,2000.0,HEPB3,"HepB, 3rd dose",ADMIN,Administrative coverage,33593.0,18416.0,54.8
2399,COUNTRIES,ARM,Armenia,2000.0,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,39504.0,36176.0,91.6
2400,COUNTRIES,ARM,Armenia,2000.0,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,47445.0,44351.0,93.5
2401,COUNTRIES,ARM,Armenia,2000.0,POL3,"Polio, 3rd dose",ADMIN,Administrative coverage,36281.0,34802.0,95.9
2402,COUNTRIES,ARM,Armenia,1999.0,BCG,BCG,ADMIN,Administrative coverage,39753.0,33643.0,93.4
2403,COUNTRIES,ARM,Armenia,1999.0,DTPCV3,"DTP-containing vaccine, 3rd dose",ADMIN,Administrative coverage,39753.0,36234.0,91.1
2404,COUNTRIES,ARM,Armenia,1999.0,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,44452.0,40465.0,91.0
2405,COUNTRIES,ARM,Armenia,1999.0,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,50244.0,46405.0,92.0
2406,COUNTRIES,ARM,Armenia,1999.0,POL3,"Polio, 3rd dose",ADMIN,Administrative coverage,39753.0,38372.0,96.5
2407,COUNTRIES,ASM,American Samoa,2011.0,BCG,BCG,ADMIN,Administrative coverage,0.0,0.0,0.0
2408,COUNTRIES,ASM,American Samoa,2011.0,DTPCV1,"DTP-containing vaccine, 1st dose",ADMIN,Administrative coverage,1078.0,1078.0,100.0
2409,COUNTRIES,ASM,American Samoa,2011.0,DTPCV3,"DTP-containing vaccine, 3rd dose",ADMIN,Administrative coverage,1078.0,969.0,91.0
2410,COUNTRIES,ASM,American Samoa,2011.0,HEPB_BD,"HepB, birth dose (given within 24 hours of birth)",ADMIN,Administrative coverage,1316.0,1316.0,100.0
2411,COUNTRIES,ASM,American Samoa,2011.0,HEPB3,"HepB, 3rd dose",ADMIN,Administrative coverage,1078.0,840.0,78.0
2412,COUNTRIES,ASM,American Samoa,2011.0,HIB3,"Hib, 3rd dose",ADMIN,Administrative coverage,1134.0,782.0,69.0
2413,COUNTRIES,ASM,American Samoa,2011.0,JAPENC,Japanese encephalitis,ADMIN,Administrative coverage,0.0,0.0,0.0
2414,COUNTRIES,ASM,American Samoa,2011.0,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,1078.0,832.0,77.0
2415,COUNTRIES,ASM,American Samoa,2011.0,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,995.0,651.0,65.0
2416,COUNTRIES,ASM,American Samoa,2011.0,PAB,Protection at birth (PAB) against neonatal tetanus,ADMIN,Administrative coverage,0.0,0.0,0.0
2417,COUNTRIES,ASM,American Samoa,2011.0,PCV1,"Pneumococcal conjugate vaccine, 1st dose",ADMIN,Administrative coverage,1078.0,1048.0,97.0
2418,COUNTRIES,ASM,American Samoa,2011.0,PCV3,"Pneumococcal conjugate vaccine, final dose",ADMIN,Administrative coverage,1078.0,920.0,85.0
2419,COUNTRIES,ASM,American Samoa,2011.0,POL3,"Polio, 3rd dose",ADMIN,Administrative coverage,1078.0,921.0,86.0
2420,COUNTRIES,ASM,American Samoa,2011.0,ROTA1,"Rotavirus, 1st dose",ADMIN,Administrative coverage,0.0,0.0,0.0
2421,COUNTRIES,ASM,American Samoa,2011.0,ROTAC,"Rotavirus, last dose",ADMIN,Administrative coverage,0.0,0.0,0.0
2422,COUNTRIES,ASM,American Samoa,2011.0,TT2PLUS,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",ADMIN,Administrative coverage,0.0,0.0,0.0
2423,COUNTRIES,ASM,American Samoa,2011.0,VAD1,"Vitamin A, 1st dose",ADMIN,Administrative coverage,0.0,0.0,0.0
2424,COUNTRIES,ASM,American Samoa,2011.0,YFV,Yellow fever vaccine,ADMIN,Administrative coverage,0.0,0.0,0.0
2425,COUNTRIES,ASM,American Samoa,2009.0,HEPB_BD,"HepB, birth dose (given within 24 hours of birth)",ADMIN,Administrative coverage,1394.0,1394.0,100.0
2426,COUNTRIES,ASM,American Samoa,2008.0,DTPCV1,"DTP-containing vaccine, 1st dose",ADMIN,Administrative coverage,1219.0,1210.0,99.0
2427,COUNTRIES,ASM,American Samoa,2008.0,DTPCV3,"DTP-containing vaccine, 3rd dose",ADMIN,Administrative coverage,1219.0,1151.0,94.0
2428,COUNTRIES,ASM,American Samoa,2008.0,HEPB_BD,"HepB, birth dose (given within 24 hours of birth)",ADMIN,Administrative coverage,1338.0,1327.0,99.0
2429,COUNTRIES,ASM,American Samoa,2008.0,HEPB3,"HepB, 3rd dose",ADMIN,Administrative coverage,1219.0,1080.0,89.0
2430,COUNTRIES,ASM,American Samoa,2008.0,HIB3,"Hib, 3rd dose",ADMIN,Administrative coverage,1630.0,1177.0,72.0
2431,COUNTRIES,ASM,American Samoa,2008.0,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,1219.0,1051.0,86.0
2432,COUNTRIES,ASM,American Samoa,2008.0,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,1496.0,857.0,57.0
2433,COUNTRIES,ASM,American Samoa,2008.0,POL3,"Polio, 3rd dose",ADMIN,Administrative coverage,1219.0,1123.0,92.0
2434,COUNTRIES,ASM,American Samoa,2005.0,DTPCV1,"DTP-containing vaccine, 1st dose",ADMIN,Administrative coverage,1613.0,1606.0,99.5
2435,COUNTRIES,ASM,American Samoa,2005.0,DTPCV3,"DTP-containing vaccine, 3rd dose",ADMIN,Administrative coverage,1613.0,1406.0,87.0
2436,COUNTRIES,ASM,American Samoa,2005.0,HEPB_BD,"HepB, birth dose (given within 24 hours of birth)",ADMIN,Administrative coverage,1721.0,1721.0,100.0
2437,COUNTRIES,ASM,American Samoa,2005.0,HEPB3,"HepB, 3rd dose",ADMIN,Administrative coverage,1613.0,1290.0,80.0
2438,COUNTRIES,ASM,American Samoa,2005.0,HIB3,"Hib, 3rd dose",ADMIN,Administrative coverage,1613.0,1423.0,88.0
2439,COUNTRIES,ASM,American Samoa,2005.0,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,1613.0,1297.0,80.0
2440,COUNTRIES,ASM,American Samoa,2005.0,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,4467.0,3583.0,80.0
2441,COUNTRIES,ASM,American Samoa,2005.0,POL3,"Polio, 3rd dose",ADMIN,Administrative coverage,1613.0,1411.0,87.0
2442,COUNTRIES,ASM,American Samoa,2000.0,DTPCV1,"DTP-containing vaccine, 1st dose",ADMIN,Administrative coverage,1730.0,1562.0,90.0
2443,COUNTRIES,ASM,American Samoa,2000.0,DTPCV3,"DTP-containing vaccine, 3rd dose",ADMIN,Administrative coverage,1730.0,1422.0,82.0
2444,COUNTRIES,ASM,American Samoa,2000.0,HEPB_BD,"HepB, birth dose (given within 24 hours of birth)",ADMIN,Administrative coverage,1730.0,1730.0,100.0
2445,COUNTRIES,ASM,American Samoa,2000.0,HEPB3,"HepB, 3rd dose",ADMIN,Administrative coverage,1427.0,1338.0,94.0
2446,COUNTRIES,ASM,American Samoa,2000.0,HIB3,"Hib, 3rd dose",ADMIN,Administrative coverage,1427.0,1147.0,77.0
2447,COUNTRIES,ASM,American Samoa,2000.0,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,1427.0,1333.0,97.0
2448,COUNTRIES,ASM,American Samoa,2000.0,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,2176.0,2050.0,94.0
2449,COUNTRIES,ASM,American Samoa,2000.0,PAB,Protection at birth (PAB) against neonatal tetanus,ADMIN,Administrative coverage,1730.0,1380.0,60.0
2450,COUNTRIES,ASM,American Samoa,2000.0,POL3,"Polio, 3rd dose",ADMIN,Administrative coverage,1427.0,1413.0,99.0
2451,COUNTRIES,ASM,American Samoa,1999.0,DTPCV3,"DTP-containing vaccine, 3rd dose",ADMIN,Administrative coverage,1224.0,1123.0,91.7
2452,COUNTRIES,ASM,American Samoa,1999.0,HEPB3,"HepB, 3rd dose",ADMIN,Administrative coverage,1408.0,1281.0,90.0
2453,COUNTRIES,ASM,American Samoa,1999.0,HIB3,"Hib, 3rd dose",ADMIN,Administrative coverage,1408.0,1035.0,73.5
2454,COUNTRIES,ASM,American Samoa,1999.0,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,1408.0,1399.0,99.0
2455,COUNTRIES,ASM,American Samoa,1999.0,POL3,"Polio, 3rd dose",ADMIN,Administrative coverage,1224.0,1102.0,90.0
2456,COUNTRIES,ATG,Antigua and Barbuda,2023.0,DIPHCV4,"Diphtheria-containing vaccine, 4th dose (1st booster)",ADMIN,Administrative coverage,995.0,869.0,87.34
2457,COUNTRIES,ATG,Antigua and Barbuda,2023.0,DTPCV1,"DTP-containing vaccine, 1st dose",ADMIN,Administrative coverage,858.0,850.0,99.07
2458,COUNTRIES,ATG,Antigua and Barbuda,2023.0,DTPCV3,"DTP-containing vaccine, 3rd dose",ADMIN,Administrative coverage,858.0,830.0,96.74
2459,COUNTRIES,ATG,Antigua and Barbuda,2023.0,HEPB_BD,"HepB, birth dose (given within 24 hours of birth)",ADMIN,Administrative coverage,940.0,324.0,34.0
2460,COUNTRIES,ATG,Antigua and Barbuda,2023.0,HEPB_BDALL,"HepB, birth dose total (including those given within and after 24 hours of birth)",ADMIN,Administrative coverage,940.0,354.0,37.66
2461,COUNTRIES,ATG,Antigua and Barbuda,2023.0,HEPB3,"HepB, 3rd dose",ADMIN,Administrative coverage,858.0,845.0,98.48
2462,COUNTRIES,ATG,Antigua and Barbuda,2023.0,HIB3,"Hib, 3rd dose",ADMIN,Administrative coverage,858.0,845.0,98.48
2463,COUNTRIES,ATG,Antigua and Barbuda,2023.0,IPV1,"Inactivated polio-containing vaccine, 1st dose",ADMIN,Administrative coverage,858.0,838.0,97.67
2464,COUNTRIES,ATG,Antigua and Barbuda,2023.0,IPV2,"Inactivated polio-containing vaccine, 2nd dose",ADMIN,Administrative coverage,858.0,838.0,97.67
2465,COUNTRIES,ATG,Antigua and Barbuda,2023.0,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,864.0,809.0,93.63
2466,COUNTRIES,ATG,Antigua and Barbuda,2023.0,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,995.0,869.0,87.34
2467,COUNTRIES,ATG,Antigua and Barbuda,2023.0,PERCV4,"Pertussis-containing vaccine, 4th dose (1st booster)",ADMIN,Administrative coverage,995.0,869.0,87.34
2468,COUNTRIES,ATG,Antigua and Barbuda,2023.0,POL3,"Polio, 3rd dose",ADMIN,Administrative coverage,858.0,845.0,98.48
2469,COUNTRIES,ATG,Antigua and Barbuda,2023.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,2961.0,45.0,2.0
2470,COUNTRIES,ATG,Antigua and Barbuda,2023.0,PRHPV1_M,"HPV Vaccination program coverage, first dose, males",HPV,HPV Estimates,3046.0,28.0,1.0
2471,COUNTRIES,ATG,Antigua and Barbuda,2023.0,PRHPVC_F,"HPV Vaccination program coverage, last dose, females",HPV,HPV Estimates,3655.0,17.0,1.0
2472,COUNTRIES,ATG,Antigua and Barbuda,2023.0,PRHPVC_M,"HPV Vaccination program coverage, last dose, males",HPV,HPV Estimates,3757.0,8.0,0.0
2473,COUNTRIES,ATG,Antigua and Barbuda,2023.0,RCV1,"Rubella-containing vaccine, 1st dose",ADMIN,Administrative coverage,864.0,809.0,93.63
2474,COUNTRIES,ATG,Antigua and Barbuda,2023.0,TTCV4,"Tetanus-containing vaccine, 4th dose (1st booster)",ADMIN,Administrative coverage,995.0,869.0,87.34
2475,COUNTRIES,ATG,Antigua and Barbuda,2022.0,DTPCV1,"DTP-containing vaccine, 1st dose",ADMIN,Administrative coverage,955.0,924.0,96.75
2476,COUNTRIES,ATG,Antigua and Barbuda,2022.0,DTPCV3,"DTP-containing vaccine, 3rd dose",ADMIN,Administrative coverage,955.0,952.0,99.69
2477,COUNTRIES,ATG,Antigua and Barbuda,2022.0,HEPB_BDALL,"HepB, birth dose total (including those given within and after 24 hours of birth)",ADMIN,Administrative coverage,955.0,952.0,99.69
2478,COUNTRIES,ATG,Antigua and Barbuda,2022.0,HEPB3,"HepB, 3rd dose",ADMIN,Administrative coverage,955.0,952.0,99.69
2479,COUNTRIES,ATG,Antigua and Barbuda,2022.0,HIB3,"Hib, 3rd dose",ADMIN,Administrative coverage,955.0,952.0,99.69
2480,COUNTRIES,ATG,Antigua and Barbuda,2022.0,IPV1,"Inactivated polio-containing vaccine, 1st dose",ADMIN,Administrative coverage,955.0,924.0,96.75
2481,COUNTRIES,ATG,Antigua and Barbuda,2022.0,IPV2,"Inactivated polio-containing vaccine, 2nd dose",ADMIN,Administrative coverage,955.0,924.0,96.75
2482,COUNTRIES,ATG,Antigua and Barbuda,2022.0,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,984.0,984.0,100.0
2483,COUNTRIES,ATG,Antigua and Barbuda,2022.0,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,990.0,900.0,90.91
2484,COUNTRIES,ATG,Antigua and Barbuda,2022.0,POL3,"Polio, 3rd dose",ADMIN,Administrative coverage,955.0,955.0,100.0
2485,COUNTRIES,ATG,Antigua and Barbuda,2022.0,RCV1,"Rubella-containing vaccine, 1st dose",ADMIN,Administrative coverage,984.0,984.0,100.0
2486,COUNTRIES,ATG,Antigua and Barbuda,2021.0,DIPHCV4,"Diphtheria-containing vaccine, 4th dose (1st booster)",ADMIN,Administrative coverage,1054.0,793.0,75.23
2487,COUNTRIES,ATG,Antigua and Barbuda,2021.0,DIPHCV5,"Diphtheria-containing vaccine, 5th dose (2nd booster)",ADMIN,Administrative coverage,1147.0,817.0,71.23
2488,COUNTRIES,ATG,Antigua and Barbuda,2021.0,DTPCV1,"DTP-containing vaccine, 1st dose",ADMIN,Administrative coverage,1046.0,971.0,92.83
2489,COUNTRIES,ATG,Antigua and Barbuda,2021.0,DTPCV3,"DTP-containing vaccine, 3rd dose",ADMIN,Administrative coverage,1046.0,967.0,92.45
2490,COUNTRIES,ATG,Antigua and Barbuda,2021.0,HEPB_BD,"HepB, birth dose (given within 24 hours of birth)",ADMIN,Administrative coverage,1099.0,214.0,19.47
2491,COUNTRIES,ATG,Antigua and Barbuda,2021.0,HEPB_BDALL,"HepB, birth dose total (including those given within and after 24 hours of birth)",ADMIN,Administrative coverage,1046.0,971.0,92.83
2492,COUNTRIES,ATG,Antigua and Barbuda,2021.0,HEPB3,"HepB, 3rd dose",ADMIN,Administrative coverage,1046.0,967.0,92.45
2493,COUNTRIES,ATG,Antigua and Barbuda,2021.0,HIB3,"Hib, 3rd dose",ADMIN,Administrative coverage,1046.0,967.0,92.45
2494,COUNTRIES,ATG,Antigua and Barbuda,2021.0,IPV1,"Inactivated polio-containing vaccine, 1st dose",ADMIN,Administrative coverage,1046.0,971.0,92.83
2495,COUNTRIES,ATG,Antigua and Barbuda,2021.0,IPV2,"Inactivated polio-containing vaccine, 2nd dose",ADMIN,Administrative coverage,1046.0,971.0,92.83
2496,COUNTRIES,ATG,Antigua and Barbuda,2021.0,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,1046.0,887.0,84.8
2497,COUNTRIES,ATG,Antigua and Barbuda,2021.0,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,1045.0,793.0,75.89
2498,COUNTRIES,ATG,Antigua and Barbuda,2021.0,PERCV4,"Pertussis-containing vaccine, 4th dose (1st booster)",ADMIN,Administrative coverage,1054.0,793.0,75.23
2499,COUNTRIES,ATG,Antigua and Barbuda,2021.0,POL3,"Polio, 3rd dose",ADMIN,Administrative coverage,1046.0,967.0,92.45
2500,COUNTRIES,ATG,Antigua and Barbuda,2021.0,PRHPVC_F,"HPV Vaccination program coverage, last dose, females",HPV,HPV Estimates,3851.0,70.0,2.0
2501,COUNTRIES,ATG,Antigua and Barbuda,2021.0,PRHPVC_M,"HPV Vaccination program coverage, last dose, males",HPV,HPV Estimates,3959.0,49.0,1.0
2502,COUNTRIES,ATG,Antigua and Barbuda,2021.0,RCV1,"Rubella-containing vaccine, 1st dose",ADMIN,Administrative coverage,1046.0,887.0,84.8
2503,COUNTRIES,ATG,Antigua and Barbuda,2021.0,TTCV4,"Tetanus-containing vaccine, 4th dose (1st booster)",ADMIN,Administrative coverage,1054.0,793.0,75.23
2504,COUNTRIES,ATG,Antigua and Barbuda,2021.0,TTCV5,"Tetanus-containing vaccine, 5th dose (2nd booster)",ADMIN,Administrative coverage,1147.0,817.0,71.23
2505,COUNTRIES,ATG,Antigua and Barbuda,2020.0,DIPHCV4,"Diphtheria-containing vaccine, 4th dose (1st booster)",ADMIN,Administrative coverage,1050.0,800.0,76.19
2506,COUNTRIES,ATG,Antigua and Barbuda,2020.0,DTPCV1,"DTP-containing vaccine, 1st dose",ADMIN,Administrative coverage,1021.0,1008.0,98.73
2507,COUNTRIES,ATG,Antigua and Barbuda,2020.0,DTPCV3,"DTP-containing vaccine, 3rd dose",ADMIN,Administrative coverage,1021.0,1008.0,98.73
2508,COUNTRIES,ATG,Antigua and Barbuda,2020.0,HEPB3,"HepB, 3rd dose",ADMIN,Administrative coverage,1021.0,1008.0,98.73
2509,COUNTRIES,ATG,Antigua and Barbuda,2020.0,HIB3,"Hib, 3rd dose",ADMIN,Administrative coverage,1021.0,1008.0,98.73
2510,COUNTRIES,ATG,Antigua and Barbuda,2020.0,IPV1,"Inactivated polio-containing vaccine, 1st dose",ADMIN,Administrative coverage,1021.0,1008.0,98.73
2511,COUNTRIES,ATG,Antigua and Barbuda,2020.0,IPV2,"Inactivated polio-containing vaccine, 2nd dose",ADMIN,Administrative coverage,1021.0,1008.0,98.73
2512,COUNTRIES,ATG,Antigua and Barbuda,2020.0,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,1109.0,987.0,89.0
2513,COUNTRIES,ATG,Antigua and Barbuda,2020.0,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,1050.0,844.0,80.38
2514,COUNTRIES,ATG,Antigua and Barbuda,2020.0,PERCV4,"Pertussis-containing vaccine, 4th dose (1st booster)",ADMIN,Administrative coverage,1050.0,800.0,76.19
2515,COUNTRIES,ATG,Antigua and Barbuda,2020.0,POL3,"Polio, 3rd dose",ADMIN,Administrative coverage,1021.0,1008.0,98.73
2516,COUNTRIES,ATG,Antigua and Barbuda,2020.0,RCV1,"Rubella-containing vaccine, 1st dose",ADMIN,Administrative coverage,1109.0,987.0,89.0
2517,COUNTRIES,ATG,Antigua and Barbuda,2020.0,TT2PLUS,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",ADMIN,Administrative coverage,1021.0,1008.0,98.73
2518,COUNTRIES,ATG,Antigua and Barbuda,2020.0,TTCV4,"Tetanus-containing vaccine, 4th dose (1st booster)",ADMIN,Administrative coverage,1050.0,800.0,76.19
2519,COUNTRIES,ATG,Antigua and Barbuda,2019.0,DIPHCV4,"Diphtheria-containing vaccine, 4th dose (1st booster)",ADMIN,Administrative coverage,1085.0,818.0,75.0
2520,COUNTRIES,ATG,Antigua and Barbuda,2019.0,DTPCV1,"DTP-containing vaccine, 1st dose",ADMIN,Administrative coverage,963.0,993.0,103.0
2521,COUNTRIES,ATG,Antigua and Barbuda,2019.0,DTPCV3,"DTP-containing vaccine, 3rd dose",ADMIN,Administrative coverage,963.0,950.0,99.0
2522,COUNTRIES,ATG,Antigua and Barbuda,2019.0,HEPB3,"HepB, 3rd dose",ADMIN,Administrative coverage,963.0,950.0,99.0
2523,COUNTRIES,ATG,Antigua and Barbuda,2019.0,HIB3,"Hib, 3rd dose",ADMIN,Administrative coverage,963.0,950.0,99.0
2524,COUNTRIES,ATG,Antigua and Barbuda,2019.0,IPV1,"Inactivated polio-containing vaccine, 1st dose",ADMIN,Administrative coverage,963.0,974.0,101.0
2525,COUNTRIES,ATG,Antigua and Barbuda,2019.0,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,962.0,935.0,97.0
2526,COUNTRIES,ATG,Antigua and Barbuda,2019.0,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,1085.0,770.0,71.0
2527,COUNTRIES,ATG,Antigua and Barbuda,2019.0,PERCV4,"Pertussis-containing vaccine, 4th dose (1st booster)",ADMIN,Administrative coverage,1085.0,818.0,75.0
2528,COUNTRIES,ATG,Antigua and Barbuda,2019.0,POL3,"Polio, 3rd dose",ADMIN,Administrative coverage,963.0,932.0,97.0
2529,COUNTRIES,ATG,Antigua and Barbuda,2019.0,RCV1,"Rubella-containing vaccine, 1st dose",ADMIN,Administrative coverage,962.0,935.0,97.0
2530,COUNTRIES,ATG,Antigua and Barbuda,2019.0,TTCV4,"Tetanus-containing vaccine, 4th dose (1st booster)",ADMIN,Administrative coverage,962.0,818.0,85.0
2531,COUNTRIES,ATG,Antigua and Barbuda,2018.0,DIPHCV4,"Diphtheria-containing vaccine, 4th dose (1st booster)",ADMIN,Administrative coverage,1039.0,960.0,92.0
2532,COUNTRIES,ATG,Antigua and Barbuda,2018.0,DIPHCV5,"Diphtheria-containing vaccine, 5th dose (2nd booster)",ADMIN,Administrative coverage,1022.0,809.0,79.0
